t_name	FPKM	H3K27ac	H3K27me3	H3K4me1	H3K4me3	H3K9ac
FBtr0078977	0.0	-1.44695	0.682318	-3.3767400000000003	1.7817599999999998	0.0
FBtr0336480	0.0	-1.67884	1.08287	-0.907625	-1.66093	0.0
FBtr0336481	0.0	-1.71985	3.6309	-0.361237	-0.9496870000000001	0.0
FBtr0113191	0.0	-3.49787	0.027968	-3.7857300000000005	-3.03943	0.0
FBtr0346235	0.0	5.13336	2.14202	-1.92137	3.247	0.0
FBtr0078897	0.0	-0.168794	-1.98458	-3.90529	-1.06535	0.0
FBtr0336482	0.0	-0.168794	-1.98458	-3.90529	-1.06535	0.0
FBtr0078898	0.0	-0.9629049999999999	-3.26233	-4.07739	-1.6683299999999999	0.0
FBtr0078899	0.0	-0.9629049999999999	-3.26233	-4.07739	-1.6683299999999999	0.0
FBtr0301768	0.0	-0.9629049999999999	-3.26233	-4.07739	-1.6683299999999999	0.0
FBtr0301769	0.0	-0.9629049999999999	-3.26233	-4.07739	-1.6683299999999999	0.0
FBtr0078900	0.0	-0.32712600000000003	-8.664589999999999	3.8591	-1.5578299999999998	0.0
FBtr0078902	0.0	-0.32712600000000003	-8.664589999999999	3.8591	-1.5578299999999998	0.0
FBtr0113338	0.0	1.3873	-9.00694	3.18856	-0.894338	0.0
FBtr0113340	0.0	1.3873	-9.00694	3.18856	-0.894338	0.0
FBtr0301770	0.0	1.3873	-9.00694	3.18856	-0.894338	0.0
FBtr0113341	0.0	3.7681199999999997	-9.13239	1.20035	0.811974	0.0
FBtr0300789	0.0	3.7681199999999997	-9.13239	1.20035	0.811974	0.0
FBtr0301771	0.0	3.7681199999999997	-9.13239	1.20035	0.811974	0.0
FBtr0078901	0.0	2.5138700000000003	-8.22856	-5.737509999999999	2.97883	0.0
FBtr0301772	0.0	2.5138700000000003	-8.22856	-5.737509999999999	2.97883	0.0
FBtr0310506	0.0	9.00117	7.00811	12.5378	2.48395	0.0
FBtr0100500	0.0	9.00117	7.00811	12.5378	2.48395	0.0
FBtr0113337	0.0	9.00117	7.00811	12.5378	2.48395	0.0
FBtr0310614	0.0	9.00117	7.00811	12.5378	2.48395	0.0
FBtr0078959	0.0	14.450999999999999	7.04598	8.014389999999999	3.2472	0.0
FBtr0100499	0.0	3.2774199999999998	-1.18791	3.61519	-0.015244200000000001	0.0
FBtr0304264	0.0	1.21425	-1.5548799999999998	-4.12585	-1.52435	0.0
FBtr0304265	0.0	1.13668	-1.66966	-4.58742	-1.52435	0.0
FBtr0078903	0.0	-2.29976	-14.5019	-3.4205699999999997	2.02314	0.0
FBtr0300936	0.0	-2.29976	-14.5019	-3.4205699999999997	2.02314	0.0
FBtr0078958	44.577831	-0.0884858	-15.5489	20.8065	-2.05467	0.0
FBtr0273009	0.0	2.77274	-7.258589999999999	-3.5752699999999997	20.1559	0.0
FBtr0336485	0.0	-4.381469999999999	-7.72267	-1.7202400000000002	-2.0244	0.0
FBtr0078957	0.0	-3.56934	-5.25813	1.43505	-0.30635500000000004	0.0
FBtr0339551	0.0	-3.56934	-5.25813	1.43505	-0.30635500000000004	0.0
FBtr0336484	3.542214	7.97933	-12.681	-4.6904	17.9923	0.0
FBtr0078907	0.0	7.97933	-12.681	-4.6904	17.9923	0.0
FBtr0336483	45.014603	7.97933	-12.681	-4.6904	17.9923	0.0
FBtr0100617	0.0	7.97933	-12.681	-4.6904	17.9923	0.0
FBtr0078955	57.263374	-2.0878099999999997	-6.3152800000000004	-3.6053699999999997	-0.9585950000000001	0.0
FBtr0078956	0.0	-3.0857	-6.110530000000001	-3.9395800000000003	-0.5293	0.0
FBtr0078953	31.764427	0.418757	-7.76855	-5.31075	0.764013	0.0
FBtr0078908	0.0	-2.04745	-8.18215	-2.99057	-0.51015	0.0
FBtr0344740	41.346897	-5.15567	-7.952310000000001	0.253502	-1.7079	0.0
FBtr0078909	53.574013	3.9897099999999996	-9.18228	3.15385	10.8077	0.0
FBtr0111220	3.375653	3.24003	-9.579369999999999	0.8723850000000001	11.9105	0.0
FBtr0078951	0.0	-3.4254800000000003	6.9046199999999995	-4.0452	-3.13908	0.0
FBtr0332449	0.0	1.8341	-8.90777	-1.14079	2.24233	-0.145318
FBtr0335201	0.0	1.8341	-8.90777	-1.14079	2.24233	-0.145318
FBtr0335202	0.0	1.8341	-8.90777	-1.14079	2.24233	-0.145318
FBtr0335203	0.0	1.8341	-8.90777	-1.14079	2.24233	-0.145318
FBtr0343890	0.0	-0.43499899999999997	-1.9369599999999998	-1.2884	1.9487400000000001	-0.0205602
FBtr0078913	0.0	0.497262	-2.64227	-4.09857	3.28615	-0.06884689999999999
FBtr0078914	21.208845	0.497262	-2.64227	-4.09857	3.28615	-0.06884689999999999
FBtr0078915	28.243387	1.57673	-7.5578199999999995	-5.376	7.91973	-0.10650599999999999
FBtr0078916	2.267082	1.17804	-8.781369999999999	0.87935	13.9604	-0.138674
FBtr0078917	0.0	0.737117	-13.374	-3.5756699999999997	17.1305	-0.149327
FBtr0302338	0.0	-0.9649700000000001	-11.6252	9.10265	9.75233	-0.14723
FBtr0302339	11.806623	1.28334	-16.3851	-0.023826	12.3565	-0.144571
FBtr0078919	11.026019	1.28334	-16.3851	-0.023826	12.3565	-0.144571
FBtr0308807	0.0	2.8052200000000003	-8.57939	23.9485	9.417869999999999	-0.12000799999999999
FBtr0308808	0.0	2.8052200000000003	-8.57939	23.9485	9.417869999999999	-0.12000799999999999
FBtr0308809	0.0	2.8052200000000003	-8.57939	23.9485	9.417869999999999	-0.12000799999999999
