FBtr0308207	1000	350	-1227.15	-1.22715	-3.50614
FBtr0332989	1000	350	-726.214	-0.726214	-2.0749
FBtr0332988	1000	350	-726.214	-0.726214	-2.0749
FBtr0332991	1000	350	-90.6135	-0.0906135	-0.258896
FBtr0332990	1000	350	-290.53	-0.29053	-0.830084
FBtr0070106	1000	350	-290.53	-0.29053	-0.830084
FBtr0070065	1000	350	-1761.2	-1.7612	-5.03201
FBtr0070064	1000	350	-1761.2	-1.7612	-5.03201
FBtr0299978	1000	350	-1624.84	-1.62484	-4.64239
FBtr0299977	1000	350	-1624.84	-1.62484	-4.64239
FBtr0332992	1000	350	-3270.89	-3.27089	-9.3454
FBtr0070063	1000	350	-3270.89	-3.27089	-9.3454
FBtr0070108	1000	350	-339.065	-0.339065	-0.968756
FBtr0070107	1000	350	-339.065	-0.339065	-0.968756
FBtr0340207	1000	350	-394.482	-0.394482	-1.12709
FBtr0340056	1000	350	-1291.76	-1.29176	-3.69076
FBtr0100136	1000	350	-1291.76	-1.29176	-3.69076
FBtr0100135	1000	350	-1291.76	-1.29176	-3.69076
FBtr0332568	1000	350	-699.199	-0.699199	-1.99771
FBtr0340057	1000	350	-963.171	-0.963171	-2.75192
FBtr0340051	1000	350	-902.024	-0.902024	-2.57721
FBtr0300673	1000	350	-902.024	-0.902024	-2.57721
FBtr0345994	1000	350	-1607.95	-1.60795	-4.59414
FBtr0345993	1000	350	-1607.95	-1.60795	-4.59414
FBtr0345997	1000	350	-2108.2	-2.1082	-6.02343
FBtr0345996	1000	350	-2108.2	-2.1082	-6.02343
FBtr0345995	1000	350	-2108.2	-2.1082	-6.02343
FBtr0309716	1000	350	-3079.45	-3.07945	-8.79844
FBtr0309717	1000	350	-3079.45	-3.07945	-8.79844
FBtr0340055	1000	350	-484.794	-0.484794	-1.38513
FBtr0302200	1000	350	-484.794	-0.484794	-1.38513
FBtr0112920	1000	350	-1687.29	-1.68729	-4.82082
FBtr0112919	1000	350	-1687.29	-1.68729	-4.82082
FBtr0340054	1000	350	-1687.29	-1.68729	-4.82082
FBtr0340053	1000	350	-1687.29	-1.68729	-4.82082
FBtr0307095	1000	350	-1915.4	-1.9154	-5.47258
FBtr0307094	1000	350	-1915.4	-1.9154	-5.47258
FBtr0307364	1000	510	134.41	0.13441	0.26355
FBtr0346898	1000	525	-1125.22	-1.12522	-2.14328
FBtr0346897	1000	581	-1135.16	-1.13516	-1.95381
FBtr0346900	1000	729	227.465	0.227465	0.312023
